imdb_id,fecha,nota
tt10374610,2026-09-04,7
tt33764258,2026-09-01,9
tt33028778,2026-08-23,6
tt21103218,2026-08-20,5
tt0047478,2026-08-20,8
tt0116282,2026-08-19,6
tt0042876,2026-08-18,7
tt4094724,2026-08-18,5
tt13833688,2026-08-08,7
tt0816692,2026-08-06,9
tt27543632,2026-08-06,7
tt12042730,2026-08-06,7
tt9253284,2026-07-31,8
tt3521164,2026-07-26,7
tt0104431,2026-07-26,6
tt8367814,2026-07-26,7
tt0317219,2026-07-26,7
tt1411697,2026-07-26,6
tt0096874,2026-07-26,7
tt0829482,2026-07-26,8
tt0099785,2026-07-26,8
tt11378946,2026-07-25,7
tt31050594,2026-07-25,4
tt14905854,2026-07-25,7
tt0363988,2026-07-21,7
tt0452608,2026-07-21,5
tt4779682,2026-07-21,5
tt0146316,2026-07-21,6
tt0370263,2026-07-21,6
tt6806448,2026-07-21,6
tt7144666,2026-07-21,6
tt5034838,2026-07-21,6
tt1440129,2026-07-21,5
tt0259324,2026-07-21,4
tt0120660,2026-07-21,7
tt1148204,2026-07-21,7
tt3235888,2026-07-21,7
tt2302755,2026-07-21,6
tt0289765,2026-07-21,7
tt3464902,2026-07-21,6
tt10954984,2026-07-21,7
tt0884328,2026-07-21,6
tt0496806,2026-07-21,6
tt12801262,2026-07-21,6
tt0120630,2026-07-21,6
tt0949731,2026-07-21,5
tt0181865,2026-07-21,7
tt0117665,2026-07-21,7
tt22022452,2026-07-21,7
tt9777666,2026-07-21,6
tt0099653,2026-07-21,7
tt2321549,2026-07-21,8
tt1189340,2026-07-21,6
tt0087538,2026-07-21,7
tt0335345,2026-07-21,6
tt0092890,2026-07-21,6
tt0117381,2026-07-21,7
tt0072890,2026-07-21,6
tt0955308,2026-07-21,6
tt0368447,2026-07-21,8
tt3402236,2026-07-21,6
tt8332922,2026-07-21,6
tt1312221,2026-07-21,7
tt1152836,2026-07-21,6
tt0112384,2026-07-21,7
tt0278504,2026-07-21,6
tt9243946,2026-07-21,7
tt0094226,2026-07-21,7
tt1231583,2026-07-21,6
tt0389860,2026-07-21,6
tt2798920,2026-07-21,6
tt0408236,2026-07-21,6
tt0286106,2026-07-21,7
tt1587310,2026-07-21,6
tt0454848,2026-07-21,7
tt2948372,2026-07-21,7
tt1568346,2026-07-21,6
tt0092099,2026-07-21,6
tt0314331,2026-07-21,7
tt1570728,2026-07-21,6
tt1024648,2026-07-21,7
tt8946378,2026-07-21,7
tt9603212,2026-07-21,7
tt0120812,2026-07-21,6
tt0293662,2026-07-21,7
tt0453467,2026-07-21,6
tt1037705,2026-07-21,7
tt0116367,2026-07-21,7
tt0163025,2026-07-21,5
tt3606756,2026-07-21,6
tt0910936,2026-07-21,7
tt0120667,2026-07-21,5
tt2788710,2026-07-21,6
tt0368891,2026-07-21,6
tt1320253,2026-07-21,8
tt0433035,2026-07-21,6
tt0438488,2026-07-21,6
tt9114286,2026-07-21,6
tt4649466,2026-07-21,7
tt1646971,2026-07-21,7
tt0317740,2026-07-21,6
tt0360486,2026-07-21,6
tt0120755,2026-07-21,6
tt1951266,2026-07-21,6
tt3799694,2026-07-21,7
tt0111257,2026-07-21,6
tt0317919,2026-07-21,6
tt0493464,2026-07-21,6
tt0181852,2026-07-21,6
tt7631058,2026-07-21,7
tt1060277,2026-07-21,6
tt2381249,2026-07-21,6
tt0265086,2026-07-21,7
tt0232500,2026-07-21,8
tt6334354,2026-07-21,6
tt10648342,2026-07-21,6
tt0831387,2026-07-21,6
tt0360717,2026-07-21,7
tt6791350,2026-07-21,7
tt0120591,2026-07-21,6
tt2382320,2026-07-21,7
tt6264654,2026-07-21,7
tt0942385,2026-07-21,6
tt2379713,2026-07-21,7
tt5095030,2026-07-21,6
tt0830515,2026-07-21,6
tt2283362,2026-07-21,6
tt0117060,2026-07-21,8
tt12593682,2026-07-21,7
tt3397884,2026-07-21,8
tt11198330,2026-07-21,8
tt1951265,2026-07-21,6
tt1477834,2026-07-21,6
tt1790864,2026-07-21,6
tt0800080,2026-07-21,6
tt1872181,2026-07-21,6
tt0356910,2026-07-21,6
tt0409459,2026-07-21,7
tt5180504,2026-07-21,7
tt0796366,2026-07-21,6
tt0116629,2026-07-21,6
tt4154664,2026-07-21,6
tt0451279,2026-07-21,6
tt3581920,2026-07-21,8
tt1074638,2026-07-21,7
tt2250912,2026-07-21,7
tt3896198,2026-07-21,8
tt1211837,2026-07-21,8
tt0458339,2026-07-21,6
tt1843866,2026-07-21,6
tt2395427,2026-07-21,8
tt0371746,2026-07-21,8
tt2015381,2026-07-21,8
tt0088247,2026-07-19,7
tt2267998,2026-07-19,7
tt0892769,2026-07-19,7
tt0084787,2026-07-19,7
tt0167404,2026-07-19,8
tt0075314,2026-07-19,8
tt0110413,2026-07-18,8
tt0253474,2026-07-18,8
tt0103064,2026-07-18,7
tt6710474,2026-07-18,7
tt0808151,2026-07-17,6
tt0356634,2026-07-17,5
tt0356150,2026-07-17,7
tt1592521,2026-07-17,7
tt0305357,2026-07-17,2
tt1375666,2026-07-17,9
tt0840361,2026-07-17,8
tt1119646,2026-07-17,9
tt1156398,2026-07-17,8
tt1197624,2026-07-17,9
tt39020004,2026-07-17,8
tt0317248,2026-07-17,10
tt0765429,2026-07-17,9
tt1591095,2026-07-17,9
tt0203009,2026-07-17,7
tt0434409,2026-07-17,7
tt0361748,2026-07-17,9
tt0209144,2026-07-17,8
tt0172495,2026-07-17,9
tt0109830,2026-07-17,9
tt0071562,2026-07-17,10
tt1242422,2026-07-17,7
tt1049413,2026-07-17,8
tt1010048,2026-07-17,7
tt0824747,2026-07-17,7
tt0421715,2026-07-17,8
tt0445691,2026-07-17,7
tt0408306,2026-07-17,7
tt0289879,2026-07-17,7
tt0338751,2026-07-17,7
tt0327056,2026-07-17,8
tt0217505,2026-07-17,8
