titulo,anio,imdb_id,tmdb_id
La vida es bella,1997,tt0118799,637
El señor de los anillos: El retorno del rey,2003,tt0167260,122
La lista de Schindler,1993,tt0108052,424
Pulp Fiction,1994,tt0110912,680
El padrino,1972,tt0068646,238
Cadena perpetua,1994,tt0111161,278
Million Dollar Baby,2004,tt0405159,70
American History X,1998,tt0120586,73
El pianista,2002,tt0253474,423
Luces de la ciudad,1931,tt0021749,901
Gran Torino,2008,tt1205489,13223
Terminator,1984,tt0088247,218
El padrino. Parte II,1974,tt0071562,240
Harakiri,1962,tt0056058,14537
Reservoir Dogs,1992,tt0105236,500
Ciudad de Dios,2002,tt0317248,598
Psicosis,1960,tt0054215,539
La chaqueta metálica,1987,tt0093058,600
Réquiem por un sueño,2000,tt0180093,641
Taxi Driver,1976,tt0075314,103
Una mente maravillosa,2001,tt0268978,453
Cisne negro,2010,tt0947798,44214
Uno de los nuestros,1990,tt0099685,769
El apartamento,1960,tt0053604,284
Indiana Jones y el templo maldito,1984,tt0087469,87
Los siete samuráis,1954,tt0047478,346
Alguien voló sobre el nido del cuco,1975,tt0073486,510
La milla verde,1999,tt0120689,497
Apocalypse Now,1979,tt0078788,28
La evasión,1960,tt0054407,29259
Seven,1995,tt0114369,807
Mar adentro,2004,tt0369702,1913
El golpe,1973,tt0070735,9277
Casablanca,1942,tt0034583,289
Cinema Paradiso,1988,tt0095765,11216
La historia interminable,1984,tt0088323,34584
Con faldas y a lo loco,1959,tt0053291,239
Sin perdón,1992,tt0105695,33
El precio del poder,1983,tt0086250,111
El discurso del Rey,2010,tt1504320,45269
El hombre que mató a Liberty Valance,1962,tt0056217,11697
El secreto de sus ojos,2009,tt1305806,25376
Bailando con lobos,1990,tt0099348,581
Babel,2006,tt0449467,1164
El gran dictador,1940,tt0032553,914
Los chicos del coro,2004,tt0372824,5528
"M, el vampiro de Düsseldorf",1931,tt0022100,832
En el nombre del padre,1993,tt0107207,7984
Forrest Gump,1994,tt0109830,13
Ciudadano Kane,1941,tt0033467,15
El silencio de los corderos,1991,tt0102926,274
La naranja mecánica,1971,tt0066921,185
Todo sobre mi madre,1999,tt0185125,99
"Good bye, Lenin!",2003,tt0301357,338
El resplandor,1980,tt0081505,694
La vida de los otros,2006,tt0405094,582
Nueve reinas,2000,tt0247586,18079
Amores perros,2000,tt0245712,55
As bestas,2022,tt15006566,848685
Los Goonies,1985,tt0089218,9340
Annie Hall,1977,tt0075686,703
La ventana indiscreta,1954,tt0047396,567
Vértigo (De entre los muertos),1958,tt0052357,426
Con la muerte en los talones,1959,tt0053125,213
Abre los ojos,1997,tt0125659,1902
Doce hombres sin piedad,1957,tt0050083,389
Desafío total,1990,tt0100802,861
Billy Elliot,2000,tt0249462,71
El paciente inglés,1996,tt0116209,409
Memories of Murder,2003,tt0353969,11423
Dogville,2003,tt0276919,553
Crimen perfecto,1954,tt0046912,521
"El bueno, el feo y el malo",1966,tt0060196,429
La delgada línea roja,1998,tt0120863,8741
La gran evasión,1963,tt0057115,5925
Funny Games,1997,tt0119167,10234
La princesa prometida,1987,tt0093779,2493
¿Qué fue de Baby Jane?,1962,tt0056687,10242
Tiempos modernos,1936,tt0027977,3082
Perversidad,1945,tt0038057,17058
Traffic,2000,tt0181865,1900
Los lunes al sol,2002,tt0319769,54580
Tigre y dragón,2000,tt0190332,146
Master and Commander,2003,tt0311113,8619
Toro Salvaje,1980,tt0081398,1578
Tarde de perros,1975,tt0072890,968
The Artist,2011,tt1655442,74643
El hombre elefante,1980,tt0080678,1955
Sed de mal,1958,tt0052311,1480
Encuentros en la tercera fase,1977,tt0075860,840
"Roma, ciudad abierta",1945,tt0038890,307
La strada,1954,tt0047528,405
Los inmortales,1986,tt0091203,8009
Érase una vez en América,1984,tt0087843,311
Mi vida sin mí,2003,tt0314412,20
Bitelchús,1988,tt0094721,4011
Perdida,2014,tt2267998,210577
Clerks,1994,tt0109445,2292
Senderos de gloria,1957,tt0050825,975
Coco,2017,tt2380307,354912
Terciopelo azul,1986,tt0090756,793
Hable con ella,2002,tt0287467,64
Manhattan,1979,tt0079522,696
La tumba de las luciérnagas,1988,tt0095327,12477
El hijo de la novia,2001,tt0292542,19460
¡Qué bello es vivir!,1946,tt0038650,1585
Los amantes del círculo polar,1998,tt0133363,1414
Orgullo y prejuicio,2005,tt0414387,4348
El jardinero fiel,2005,tt0387131,1985
Cuando Harry encontró a Sally,1989,tt0098635,639
Criadas y señoras,2011,tt1454029,50014
La cosa (El enigma de otro mundo),1982,tt0084787,1091
Las dos caras de la verdad,1996,tt0117381,1592
El cazador,1978,tt0077416,11778
Matar a un ruiseñor,1962,tt0056592,595
El crack,1981,tt0082210,60794
El último emperador,1987,tt0093389,746
Descubriendo nunca jamás,2004,tt0308644,866
The reader (el lector),2008,tt0976051,8055
El piano,1993,tt0107822,713
Boyhood,2014,tt1065073,85350
Puñales por la espalda,2019,tt8946378,546554
Bailar en la oscuridad,2000,tt0168629,16
El crepúsculo de los dioses,1950,tt0043014,599
Antes de amanecer,1995,tt0112471,76
Sleepers,1996,tt0117665,819
La habitación,2015,tt3170832,264644
The fighter,2010,tt0964517,45317
Una noche en la ópera,1935,tt0026778,37719
Los santos inocentes,1984,tt0088040,75877
Delicatessen,1991,tt0101700,892
Testigo de cargo,1957,tt0051201,37257
El luchador,2008,tt1125849,12163
El tercer hombre,1949,tt0041959,1092
Un dios salvaje,2011,tt1692486,72113
La profecía,1976,tt0075005,794
Persépolis,2007,tt0808417,2011
Los miserables,2012,tt1707386,82695
Te doy mis ojos,2003,tt0350193,1418
Las vidas posibles de Mr. Nobody,2009,tt0485947,31011
12 monos,1995,tt0114746,63
Cyrano de Bergerac,1990,tt0099334,11673
El dilema,1999,tt0140352,9008
Tres colores: Azul,1993,tt0108394,108
Kramer contra Kramer,1979,tt0079417,12102
Camino,2008,tt1206285,17893
El verdugo,1963,tt0057643,4498
Los falsificadores,2007,tt0813547,7862
Hotel Rwanda,2004,tt0395169,205
Deseando amar,2000,tt0118694,843
Cinderella Man,2005,tt0352248,921
Antes del atardecer,2004,tt0381681,80
Pena de muerte,1995,tt0112818,687
Una cuestión de tiempo,2013,tt2194499,122906
La sociedad de la nieve,2023,tt16277242,906126
AzulOscuroCasiNegro,2006,tt0452971,3865
Tomates verdes fritos,1991,tt0101921,1633
Rush,2013,tt1979320,96721
Gandhi,1982,tt0083987,783
Las ventajas de ser un marginado,2012,tt1659337,84892
Metrópolis,1927,tt0017136,19
Sentido y sensibilidad,1995,tt0114388,4584
Sangre fácil,1984,tt0086979,11368
Ed Wood,1994,tt0109707,522
Si la cosa funciona,2009,tt1178663,19265
Rebeca,1940,tt0032976,223
Yo soy Sam,2001,tt0277027,10950
Paseando a Miss Daisy,1989,tt0097239,403
La cinta blanca,2009,tt1149362,37903
The Man from Earth,2007,tt0756683,13363
La maldición del escorpión de jade,2001,tt0256524,2779
Alta fidelidad,2000,tt0146882,243
Ladrón de bicicletas,1948,tt0040522,5156
Las horas,2002,tt0274558,590
Amor a quemarropa,1993,tt0108399,319
Barry Lyndon,1975,tt0072684,3175
Eva al desnudo,1950,tt0042192,705
Granujas a todo ritmo,1980,tt0080455,525
"¡Jo, qué noche!",1985,tt0088680,10843
Ser o no ser,1942,tt0035446,198
La última noche,2002,tt0307901,1429
El cartero (y Pablo Neruda),1994,tt0110877,11010
Todos los hombres del presidente,1976,tt0074119,891
Un mundo perfecto,1993,tt0107808,9559
Brazil,1985,tt0088846,68
Soul,2020,tt2948372,508442
Perdición,1944,tt0036775,996
Hero,2002,tt0299977,79
Hasta el último hombre,2016,tt2119532,324786
El sargento de hierro,1986,tt0091187,10015
Following,1998,tt0154506,11660
Dersu Uzala (El cazador),1975,tt0071411,9764
Cuenta conmigo,1986,tt0092005,235
Trece vidas,2022,tt12262116,698948
Mulholland Drive,2001,tt0166924,1018
El chico,1921,tt0012349,10098
This is England,2006,tt0480025,11798
Hombres de honor,2000,tt0203019,11978
Historia de un matrimonio,2019,tt7653254,492188
Poltergeist (Fenómenos extraños),1982,tt0084516,609
¡Viven!,1993,tt0106246,7305
Jungla de cristal,1988,tt0095016,562
Entrevista con el vampiro,1994,tt0110148,628
Dentro del laberinto,1986,tt0091369,13597
Leaving Las Vegas,1995,tt0113627,451
Carretera perdida,1997,tt0116922,638
Amor,2012,tt1602620,86837
Mi nombre es Harvey Milk,2008,tt1013753,10139
Soñadores,2003,tt0309987,1278
Nebraska,2013,tt1821549,129670
El buscavidas,1961,tt0054997,990
El hombre que nunca estuvo allí,2001,tt0243133,10778
Thelma & Louise,1991,tt0103074,1541
Barrio,1998,tt0146468,32118
Quiéreme si te atreves,2003,tt0364517,8424
Una historia de violencia,2005,tt0399146,59
Como agua para chocolate,1992,tt0103994,18183
El maquinista de La General,1926,tt0017925,961
Call me by your Name,2017,tt5726616,398818
El hombre que pudo reinar,1975,tt0073341,983
Incendies,2010,tt1255953,46738
El sentido de la vida,1983,tt0085959,4543
Al final de la escalera,1980,tt0080516,13550
Zatoichi,2003,tt0363226,246
Corazón salvaje,1990,tt0100935,483
Wall Street,1987,tt0094291,10673
Warrior,2011,tt1291584,59440
Ran,1985,tt0089881,11645
La quimera del oro,1925,tt0015864,962
La caza del Octubre rojo,1990,tt0099810,1669
La vida secreta de las palabras,2005,tt0430576,148
Dark City,1998,tt0118929,2666
Otra ronda,2020,tt10288566,580175
En la cuerda floja,2005,tt0358273,69
"Uno, dos, tres",1961,tt0055256,430
Plan oculto,2006,tt0454848,388
Hasta que llegó su hora,1968,tt0064116,335
Once (una vez),2007,tt0907657,5723
Barton Fink,1991,tt0101410,290
Siempre a tu lado (Hachiko),2009,tt1028532,28178
Boogie Nights,1997,tt0118749,4995
The Gentlemen: los señores de la mafia,2019,tt8367814,522627
Fantástico Sr Fox,2009,tt0432283,10315
Canino,2009,tt1379182,38810
Un profeta,2009,tt1235166,21575
Excalibur,1981,tt0082348,11527
Belle Époque,1992,tt0103791,2470
"Corre, Lola, corre",1998,tt0130827,104
Mary and Max,2009,tt0978762,24238
El último duelo,2021,tt4244994,617653
Ray,2004,tt0350258,1677
Del revés 2,2024,tt22022452,1022789
Delitos y faltas,1989,tt0097123,11562
El club de los cinco,1985,tt0088847,2108
El último rey de escocia,2006,tt0455590,1523
"Yo, Tonya",2017,tt5580036,389015
¿A quién ama Gilbert Grape?,1993,tt0108550,1587
Despertares,1990,tt0099077,11005
Las uvas de la ira,1940,tt0032551,596
Anatomía de una caída,2023,tt17009710,915935
La pianista,2001,tt0254686,1791
La parada de los monstruos,1932,tt0022913,136
El color púrpura,1985,tt0088939,873
Los asesinos de la luna,2023,tt5537002,466420
Man on the Moon,1999,tt0125664,1850
Poderosa Afrodita,1995,tt0113819,11448
Fuego en el cuerpo,1981,tt0082089,14412
"Ghost Dog, el camino del samurái",1999,tt0165798,4816
Sin novedad en el frente,2022,tt1016150,49046
Carol,2015,tt2402927,258480
Le Mans 66,2019,tt1950186,359724
La ballena,2022,tt13833688,785084
Gracias por fumar,2005,tt0427944,9388
Lunas de hiel,1992,tt0104779,10497
Las invasiones bárbaras,2003,tt0338135,11042
El padre,2020,tt10272386,600354
La juventud,2015,tt3312830,310593
Diario de un rebelde,1995,tt0112461,10474
El gigante de hierro,1999,tt0129167,10386
La fuerza del cariño,1983,tt0086425,11050
Stalingrado,1993,tt0108211,11101
Almas en pena de Inisherin,2022,tt11813216,674324
Vidas pasadas,2023,tt13238346,666277
Wonder,2017,tt2543472,406997
Marathon Man,1976,tt0074860,10518
Novecento (1900),1976,tt0074084,3870
Happiness,1998,tt0147612,10683
Richard Jewell,2019,tt3513548,292011
La buena estrella,1997,tt0118788,97295
Mientras duermes,2011,tt1437358,77495
La escafranda y la mariposa (nota: en realidad “La escafandra y la mariposa”),2007,tt0401383,2013
The Florida Project,2017,tt5649144,394117
Los que se quedan,2023,tt14849194,840430
Acordes y desacuerdos,1999,tt0158371,9684
Beautiful Girls,1996,tt0115639,9283
Las tortugas también vuelan,2004,tt0424227,8340
Fresa y chocolate,1993,tt0106966,12527
Todos dicen I love you,1996,tt0116242,9716
Fanny y Alexander,1982,tt0083922,5961
La última noche de Boris Grushenko,1975,tt0073312,11686
Mujercitas,2019,tt3281548,331482
¿Qué he hecho yo para merecer esto?,1984,tt0088461,8221
Coherence,2013,tt2866360,220289
La ley de la calle,1983,tt0086216,232
Los Fabelman,2022,tt14208870,804095
