titulo,anio,imdb_id,tmdb_id
Big Bang,2007,tt0898266,1418
True Detective: Noche polar,2014,tt2356777,46648
Ataque a los titanes,2013,tt2560140,1429
Rick y Morty,2013,tt2861424,60625
Los Soprano,1999,tt0141842,1398
Suits: La clave del éxito,2011,tt1632701,37680
Sobrenatural,2005,tt0460681,1622
Miércoles,2022,tt13443470,119051
Avatar. La leyenda de Aang,2005,tt0417299,246
Bruja Escarlata y Visión,2021,tt9140560,85271
Separación,2022,tt11280740,95396
Crónicas vampíricas,2009,tt1405406,18165
Anatomía de Grey,2005,tt0413573,1416
American Horror Story: Asylum,2011,tt1844624,1413
Por trece razones,2017,tt1837492,66788
Caballero Luna,2022,tt10234724,92749
Adolescencia,2025,tt31806037,249042
Los 100,2014,tt2661044,48866
El cuento de la criada,2017,tt5834204,69478
Dos hombres y medio,2003,tt0369179,2691
Spartacus: Sangre y arena,2010,tt1442449,46296
Falcon y el Soldado de Invierno,2021,tt9208876,88396
Colgados en Filadelfia,2005,tt0472954,2710
El caballero de los Siete Reinos,2026,tt27497448,224372
Expediente X,1993,tt0106179,4087
Érase una vez,2011,tt1843230,39272
Ojo de Halcón,2021,tt10160804,88329
El Pingüino,2024,tt15435876,194764
Mentes criminales,2005,tt0452046,4057
El mentalista,2008,tt1196946,5920
Agentes de S.H.I.E.L.D.,2013,tt2364582,1403
Planeta Tierra,2006,tt0795176,1044
Guardianes de la noche: Kimetsu no Yaiba,2019,tt9335498,85937
Los Bridgerton,2020,tt8740790,91239
Vigilados: Person of Interest,2011,tt1839578,1411
El libro de Boba Fett,2021,tt13668894,115036
She-Hulk: Abogada Hulka,2022,tt10857160,92783
Sandman,2022,tt1751634,90802
Roma,2005,tt0384766,1891
Solo asesinatos en el edificio,2021,tt11691774,107113
Origen,2022,tt14417802,128252
Aquellos maravillosos 70,1998,tt0165598,52
El Pacificador,2022,tt13146488,110492
Bebé reno,2024,tt13649112,241259
Pequeñas mentirosas,2010,tt1578873,31917
"Galáctica, estrella de combate",2004,tt0407362,1972
El problema de los 3 cuerpos,2024,tt13016388,108545
The Gentlemen: La serie,2024,tt13210838,236235
Cómo defender a un asesino,2014,tt3205802,61056
Bronca,2023,tt14403178,154385
Navy: Investigación criminal,2003,tt0364845,4614
Los informáticos,2006,tt0487831,2490
Las chicas Gilmore,2000,tt0238784,4586
"Buffy, cazavampiros",1997,tt0118276,95
Misa de medianoche,2021,tt10574558,97400
A dos metros bajo tierra,2001,tt0248654,1274
Instituto McKinley,1999,tt0193676,2382
La rueda del tiempo,2021,tt7462410,71914
El agente nocturno,2023,tt13918776,129552
¿Qué pasaría si...?,2021,tt10168312,91363
Los originales,2013,tt2632424,46896
Malcolm,2000,tt0212671,2004
Sexe a Nova York,1998,tt0159206,105
Así nos ven,2019,tt7137906,81355
La maravillosa Sra. Maisel,2017,tt5788792,70796
Mujeres desesperadas,2004,tt0410975,693
Ladrón de guante blanco,2009,tt1358522,21510
El príncep de Bel-Air,1990,tt0098800,1892
La leyenda de Korra,2012,tt1695360,33880
Dexter: Resurrección,2025,tt33043892,259909
El joven Sheldon,2017,tt6226232,71728
Star Trek: La nueva generación,1987,tt0092455,655
Encerrado con el diablo,2022,tt4301160,155537
Law & Order: UVE,1999,tt0203259,2734
La maldición de Bly Manor,2020,tt10970552,109958
Padre Made in USA,2005,tt0397306,1433
Emily en París,2020,tt8962124,82596
El infiltrado,2016,tt1399664,61859
Heridas abiertas,2018,tt2649356,70453
Rockefeller Plaza,2006,tt0496424,4608
Batman: La serie animada,1992,tt0103359,2098
Creedme,2019,tt7909970,91275
La caída de la Casa Usher,2023,tt15567174,157065
Miénteme,2009,tt1235099,8358
Chacal,2024,tt24053860,222766
Hora de aventuras,2010,tt1305826,15260
La caza,2013,tt2294189,49010
Justified: La ley de Raylan,2010,tt1489428,1436
La lista final,2022,tt11743610,120911
Terapia sin filtro,2023,tt15677150,136311
Lo que hacemos en las sombras,2019,tt7908628,83631
Fundación,2021,tt0804484,93740
Bob Esponja,1999,tt0206512,387
Bons averanys,2019,tt1869454,71915
El hombre en el castillo,2015,tt1740299,62017
Sombra y hueso,2021,tt2403776,85720
22.11.63,2016,tt2879552,64464
La asistenta,2021,tt11337908,111141
Tierra de mafiosos,2025,tt31510819,247718
Titanes,2018,tt1043813,75450
Las escalofriantes aventuras de Sabrina,2018,tt7569592,79242
La cúpula,2013,tt1553656,46331
Matrimonio con hijos,1987,tt0092400,4239
El visitante,2020,tt8550800,84661
Muñeca rusa,2019,tt7520794,84977
Sucesor designado,2016,tt5296406,67026
It: Bienvenidos a Derry,2025,tt19244304,200875
Dos chicas sin blanca,2011,tt1845307,39340
DC's Legends of Tomorrow,2016,tt4532368,62643
Atípico,2017,tt6315640,71578
Perdidos en el espacio,2018,tt5232792,75758
Landman: Un negocio crudo,2024,tt14186672,157741
Más que rivales,2025,tt35495073,301507
Hotel Fawlty,1975,tt0072500,2207
Ginny y Georgia,2021,tt10813940,117581
La dimensión desconocida,1959,tt0052520,6357
Alien: Planeta Tierra,2025,tt13623632,157239
Samurái de ojos azules,2023,tt13309742,225180
O.C.,2003,tt0362359,2673
Orgullo y prejuicio,1995,tt0112130,1457
El ala oeste de la Casa Blanca,1999,tt0200276,688
El abogado del Lincoln,2022,tt13833978,116799
La diplomática,2023,tt17491088,203857
Embrujadas,1998,tt0158552,1981
Juegos sagrados,2018,tt6077448,79352
The Shield: Al margen de la ley,2002,tt0286486,1414
Presunto inocente,2024,tt17677860,156933
Yo nunca,2020,tt10062292,100883
Agente Carter,2015,tt3475734,61550
Detrás de sus ojos,2021,tt9698442,97173
El rey de Queens,1998,tt0165581,4238
La materia oscura,2019,tt5607976,68507
C.S.I.,2000,tt0247082,1431
Secuestro en el aire,2023,tt19854762,198102
Mirapur,2018,tt6473300,84105
Dopesick: Historia de una adicción,2021,tt9174558,110695
Estamos muertos,2022,tt14169960,99966
Avatar: La leyenda de Aang,2024,tt9018736,82452
Para toda la humanidad,2019,tt7772588,87917
El perifèric,2022,tt8291284,95403
Cuando el teléfono suena,2024,tt33503491,253905
Invasión secreta,2023,tt13157618,114472
Más allá del jardín,2014,tt3718778,61617
¿Quién es Anna?,2022,tt8740976,95665
"Agatha, ¿quién si no?",2024,tt15571732,138501
Él y ella,2026,tt33035373,259731
La granja de Clarkson,2021,tt10541088,117648
La reina Cleopatra,2023,tt27528139,224387
Los Tudor,2007,tt0758790,2942
Bron (El puente),2011,tt1733785,45016
Nadie quiere esto,2024,tt26933824,250923
Hawai 5.0,2010,tt1600194,32798
Esta mierda me supera,2020,tt9446688,90260
Raymond,1996,tt0115167,2140
Último aviso,2007,tt0810788,2919
(Des)encanto,2018,tt5363918,73021
Defender a Jacob,2020,tt2304589,87784
Urgencias,1994,tt0108757,4588
Sweet Tooth: El niño ciervo,2021,tt12809988,103768
La reina Carlota: Una historia de Los Bridgerton,2023,tt14661396,196454
Re: Zero - Empezar de cero en un mundo diferente,2016,tt5607616,65942
Star Trek: Espacio profundo nueve,1993,tt0106145,580
El verano en que me enamoré,2022,tt14016500,194766
As bólas máxicas,1995,tt0088509,12609
Materia oscura,2024,tt19231492,196322
Desaparecido,2016,tt5249462,65249
