imdb_id,nota,fecha,tipo,anio,fin,duracion,imdb,votos
tt10374610,7,2026-09-04,movie,2025,,108,6.6,149197
tt33764258,9,2026-09-01,movie,2026,,172,8.4,504583
tt33028778,6,2026-08-23,movie,2025,,92,5.8,37355
tt21103218,5,2026-08-20,movie,2025,,130,6.8,57293
tt0047478,8,2026-08-20,movie,1954,,207,8.6,406042
tt0116282,6,2026-08-19,movie,1996,,98,8.1,797791
tt0042876,7,2026-08-18,movie,1950,,88,8.1,198889
tt4094724,5,2026-08-18,movie,2016,,108,6,120411
tt13833688,7,2026-08-08,movie,2022,,117,7.6,310693
tt0816692,9,2026-08-06,movie,2014,,169,8.7,2610364
tt27543632,7,2026-08-06,movie,2025,,131,6.7,199547
tt12042730,7,2026-08-06,movie,2026,,156,8.2,554184
tt3581920,8,2026-07-21,tvSeries,2023,,50,8.4,750934
tt0324216,8,2026-07-17,movie,2003,,98,6.2,164106
tt0098800,7,2026-07-17,tvSeries,1990,1996,22,7.9,154415
tt0472198,7,2026-07-17,movie,2009,,122,6.7,48326
tt0808279,6,2026-07-17,movie,2007,,111,6.5,111259
tt0386676,10,2026-07-15,tvSeries,2005,2013,22,9,851248
tt0168366,8,2026-07-14,tvSeries,1997,2023,25,7.6,57326
tt1442449,8,2026-07-13,tvSeries,2010,2013,60,8.4,298168
tt1844624,8,2026-07-13,tvSeries,2011,,60,7.9,365171
tt2093990,6,2026-07-13,movie,2014,,136,6.4,6892
